open_time,open,high,low,close,volume,status
1667944800000,18691.7,18722.0,18355.9,18534.0,91788.764,-1
1667952000000,18533.9,18574.9,18271.3,18310.7,67424.344,-1
1667959200000,18310.8,18417.9,17976.4,18303.3,89937.818,-1
1667966400000,18303.3,18498.5,18163.0,18386.2,63105.097,-1
1667973600000,18386.2,18444.3,18189.0,18224.9,49675.43,-1
1667980800000,18225.0,18245.2,17607.9,17755.1,166391.711,-1
1667988000000,17755.0,17859.8,17229.3,17800.4,219158.717,-1
1667995200000,17800.3,18008.0,17278.7,17570.3,211115.541,-1
1668002400000,17570.3,17823.4,16884.0,17098.4,260719.979,-1
1668009600000,17096.8,17308.0,16727.0,16941.6,221337.368,-1
1668016800000,16941.5,17000.0,16403.0,16764.5,214509.66,-1
1668024000000,16764.5,16885.1,15566.0,15701.8,301352.901,-1
1668031200000,15701.9,16052.5,15462.6,15905.0,200877.846,-1
1668038400000,15905.0,16414.5,15730.0,16114.9,142335.174,-1
1668045600000,16114.8,16556.7,16020.8,16351.7,85528.233,-1
1668052800000,16351.7,16768.0,16184.7,16689.4,97217.648,-1
1668060000000,16689.4,16891.0,16582.1,16739.5,98404.155,-1
1668067200000,16739.5,16940.0,16458.4,16684.1,99916.403,-1
1668074400000,16684.0,16732.1,16250.2,16388.1,102363.837,-1
1668081600000,16388.1,17800.0,16375.5,17649.3,260587.452,-1
1668088800000,17649.3,17947.5,17363.2,17541.6,183672.02,-1
1668096000000,17541.6,17987.0,17101.0,17179.7,170928.167,-1
1668103200000,17179.6,17486.6,17165.6,17438.6,76672.025,-1
1668110400000,17438.6,18230.0,17360.1,17848.3,125468.881,0
1668117600000,17848.3,17877.6,17466.0,17588.0,53999.607,0
1668124800000,17588.0,17678.0,17190.1,17259.0,68839.935,0
1668132000000,17259.1,17348.4,16880.0,17052.3,84820.939,0
1668139200000,17052.4,17402.8,16994.9,17352.1,64709.64,0
1668146400000,17352.1,17479.2,17143.0,17397.3,60591.926,0
1668153600000,17397.3,17524.9,17260.0,17382.9,48776.135,0
1668160800000,17382.9,17460.0,17208.7,17339.9,44793.414,0
1668168000000,17340.0,17550.0,17251.0,17295.0,61119.804,0
1668175200000,17295.6,17337.5,16343.0,16864.8,278207.909,0
1668182400000,16864.7,16952.4,16528.1,16899.4,82511.12,0
1668189600000,16899.5,17037.8,16659.9,16842.6,61019.741,0
1668196800000,16842.6,16892.2,16538.0,16796.3,56496.625,0
1668204000000,16796.4,17145.0,16781.2,17058.3,43457.414,0
1668211200000,17058.4,17110.8,16795.8,16884.6,31164.838,0
1668218400000,16884.5,16998.2,16765.0,16899.0,23202.622,0
1668225600000,16899.1,16930.0,16623.8,16695.8,40848.563,0
